Date(UTC),UnixTimeStamp,Value,,,
4/8/2022,1649376000,3.02,,,
4/9/2022,1649462400,3,,,
4/10/2022,1649548800,3,,,
4/11/2022,1649635200,3,,,
4/12/2022,1649721600,3.02,,,
4/13/2022,1649808000,3,,,
4/14/2022,1649894400,3.01,,,
4/15/2022,1649980800,3.03,,,
4/16/2022,1650067200,3.01,,,
4/17/2022,1650153600,3.02,,,
4/18/2022,1650240000,3.08,,,
4/19/2022,1650326400,3.01,,,
4/20/2022,1650412800,3.01,,,
4/21/2022,1650499200,3.01,,,
4/22/2022,1650585600,3.01,,,
4/23/2022,1650672000,3.02,,,
4/24/2022,1650758400,3,,,
4/25/2022,1650844800,3.03,,,
4/26/2022,1650931200,3.02,,,
4/27/2022,1651017600,3.02,,,
4/28/2022,1651104000,3.03,,,
4/29/2022,1651190400,3.04,,,
4/30/2022,1651276800,3.02,,,
5/1/2022,1651363200,3.03,,,
5/2/2022,1651449600,3.01,,,
5/3/2022,1651536000,3.02,,,
5/4/2022,1651622400,3.01,,,
5/5/2022,1651708800,3.01,,,
5/6/2022,1651795200,3.01,,,
5/7/2022,1651881600,3.01,,,
5/8/2022,1651968000,3.05,,,
5/9/2022,1652054400,3.01,,,
5/10/2022,1652140800,3.01,,,
5/11/2022,1652227200,3.11,,,
5/12/2022,1652313600,3.04,,,
5/13/2022,1652400000,3.08,,,
5/14/2022,1652486400,3.05,,,
5/15/2022,1652572800,3.04,,,
5/16/2022,1652659200,3.07,,,
5/17/2022,1652745600,3.04,,,
5/18/2022,1652832000,3.02,,,
5/19/2022,1652918400,3.02,,,
5/20/2022,1653004800,3.01,,,
5/21/2022,1653091200,3.01,,,
5/22/2022,1653177600,3.01,,,
5/23/2022,1653264000,3.01,,,
5/24/2022,1653350400,3.01,,,
5/25/2022,1653436800,3.02,,,
5/26/2022,1653523200,3.04,,,
5/27/2022,1653609600,3.01,,,
5/28/2022,1653696000,3.03,,,
5/29/2022,1653782400,3.02,,,
5/30/2022,1653868800,3.02,,,
5/31/2022,1653955200,3.01,,,
6/1/2022,1654041600,3.02,,,
6/2/2022,1654128000,3.02,,,
6/3/2022,1654214400,3.02,,,
6/4/2022,1654300800,3.02,,,
6/5/2022,1654387200,3.02,,,
6/6/2022,1654473600,3.04,,,
6/7/2022,1654560000,3.01,,,
6/8/2022,1654646400,3.02,,,
6/9/2022,1654732800,3.03,,,
6/10/2022,1654819200,3.02,,,
6/11/2022,1654905600,3.02,,,
6/12/2022,1654992000,3.02,,,
6/13/2022,1655078400,3.02,,,
6/14/2022,1655164800,3.01,,,
6/15/2022,1655251200,3.02,,,
6/16/2022,1655337600,3.03,,,
6/17/2022,1655424000,3.01,,,
6/18/2022,1655510400,3.01,,,
6/19/2022,1655596800,3.01,,,
6/20/2022,1655683200,3.02,,,
6/21/2022,1655769600,3,,,
6/22/2022,1655856000,1993.03,,,
6/23/2022,1655942400,3,,,
6/24/2022,1656028800,3.02,,,
6/25/2022,1656115200,3,,,
6/26/2022,1656201600,3,,,
6/27/2022,1656288000,3,,,
6/28/2022,1656374400,3.01,,,
6/29/2022,1656460800,3,,,
6/30/2022,1656547200,3.01,,,
7/1/2022,1656633600,3,,,
7/2/2022,1656720000,3,,,
7/3/2022,1656806400,3,,,
7/4/2022,1656892800,3,,,
7/5/2022,1656979200,3,,,
7/6/2022,1657065600,3,,,
7/7/2022,1657152000,3.01,,,
7/8/2022,1657238400,3,,,
7/9/2022,1657324800,3,,,
7/10/2022,1657411200,3,,,
7/11/2022,1657497600,3,,,
7/12/2022,1657584000,3,,,
7/13/2022,1657670400,3,,,
7/14/2022,1657756800,3,,,
7/15/2022,1657843200,3.01,,,
7/16/2022,1657929600,3.01,,,
7/17/2022,1658016000,3,,,
7/18/2022,1658102400,3,,,
7/19/2022,1658188800,3,,,
7/20/2022,1658275200,3.01,,,
7/21/2022,1658361600,3.01,,,
7/22/2022,1658448000,3.03,,,
7/23/2022,1658534400,3.02,,,
7/24/2022,1658620800,3.01,,,
7/25/2022,1658707200,3.01,,,
7/26/2022,1658793600,3.01,,,
7/27/2022,1658880000,3.01,,,
7/28/2022,1658966400,3.01,,,
7/29/2022,1659052800,3.01,,,
7/30/2022,1659139200,3.02,,,
7/31/2022,1659225600,3,,,
8/1/2022,1659312000,3,,,
8/2/2022,1659398400,3.01,,,
8/3/2022,1659484800,3,,,
8/4/2022,1659571200,3,,,
8/5/2022,1659657600,3.01,,,
8/6/2022,1659744000,3,,,
8/7/2022,1659830400,2128.93,,,
8/8/2022,1659916800,3,,,
8/9/2022,1660003200,3.01,,,
8/10/2022,1660089600,3,,,
8/11/2022,1660176000,3,,,
8/12/2022,1660262400,3,,,
8/13/2022,1660348800,3,,,
8/14/2022,1660435200,3,,,
,,,,,
,,,,,2638.11
,,,,,
,,,,,
,,,,,3.742
